file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\StreamGobbler.java,com.topjohnwu.superuser.internal.StreamGobbler,class,3,6,3,3,9,3,0,7,0,0.44444445,1.0,1.0,3,0,0,1,1,1,2,0,0,0,3,1,0,1,2,0,3,0,1,58,4,1,3,0,0,1,1,8,2,7,2,0,2,0,30,1024,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\SerialExecutorService.java,com.topjohnwu.superuser.internal.SerialExecutorService,class,1,2,1,1,16,2,0,8,0,0.33333334,0.85714287,1.0,7,0,7,0,0,0,7,0,0,6,3,0,0,3,0,0,0,0,0,59,7,1,5,2,1,2,0,8,1,4,3,0,0,0,38,1,0
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\io\SuRandomAccessFile.java,com.topjohnwu.superuser.io.SuRandomAccessFile,class,7,11,4,7,11,1,2,3,36,0.0,0.0,0.0,9,2,9,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,4,25,4,0,0,1,0,0,0,0,0,0,2,0,0,0,105,1025,0
E:\OOD\projectsnew\libsu-master\example\src\main\java\com\topjohnwu\libsuexample\MainActivity.java,com.topjohnwu.libsuexample.MainActivity$MSGConnection,innerclass,6,6,0,6,6,1,0,6,1,0.33333334,0.33333334,0.33333334,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,38,1,0,1,2,0,4,0,6,0,3,1,0,0,0,27,0,0
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\DataInputImpl.java,com.topjohnwu.superuser.internal.DataInputImpl,interface,4,6,2,4,26,1,0,15,136,0.0,0.0,0.0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,2,86,16,1,7,1,28,0,67,16,25,12,2,0,0,0,33,0,0
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\FileImpl.java,com.topjohnwu.superuser.internal.FileImpl,class,5,8,3,5,21,3,0,11,55,0.0,0.0,0.0,11,0,7,0,4,0,11,3,0,0,0,0,0,0,0,0,0,0,0,49,9,3,5,0,2,0,3,10,0,9,2,0,0,0,32,1024,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$ServiceReceiver,innerclass,11,11,0,11,8,2,0,11,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,1,34,2,1,2,1,0,0,2,11,1,7,3,0,0,0,40,2,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$Job,innerclass,5,5,0,5,8,1,0,2,28,0.0,0.0,0.0,8,0,8,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1033,0
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\RemoteFile.java,com.topjohnwu.superuser.internal.RemoteFile,class,7,9,2,7,70,4,0,37,0,0.15,0.7125506,0.7125506,40,0,35,1,2,2,39,0,0,0,1,0,0,1,0,0,1,0,0,287,61,0,0,30,0,1,12,4,0,3,1,0,0,0,80,0,0
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\nio\FileSystemManager.java,com.topjohnwu.superuser.nio.FileSystemManager,class,9,16,7,9,11,1,0,7,36,0.9722222,0.0,0.0,9,3,9,0,0,0,9,3,3,1,8,8,6,2,0,0,7,0,3,33,6,0,2,0,0,0,0,8,0,8,1,0,0,0,142,1025,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\TaskImpl.java,com.topjohnwu.superuser.internal.TaskImpl,class,7,8,1,7,5,1,0,12,0,0.5,0.33333334,0.33333334,2,0,1,0,0,1,3,0,0,0,5,3,0,2,0,3,5,0,2,29,0,1,0,1,0,1,1,8,0,7,1,0,0,0,35,0,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell,class,12,28,16,12,24,1,1,12,188,0.9722222,0.005263158,0.005263158,20,13,20,0,0,0,20,5,0,0,9,9,9,0,0,0,7,0,15,121,11,1,0,1,3,0,10,9,3,9,3,0,7,0,332,1025,0
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\FileSystemService.java,com.topjohnwu.superuser.internal.FileSystemService$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\ShellUtils.java,com.topjohnwu.superuser.ShellUtils,class,5,12,7,5,31,1,0,24,43,0.8,0.0,0.0,10,9,9,1,0,0,9,0,0,0,1,1,0,1,0,0,1,0,6,70,11,7,11,1,4,2,18,15,3,8,3,0,0,0,132,17,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceManager.java,com.topjohnwu.superuser.internal.RootServiceManager$RemoteProcess,innerclass,4,4,0,4,7,2,0,7,1,0.5,0.0,0.0,2,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1,1,0,0,18,0,1,4,0,0,0,0,4,0,3,2,0,0,1,19,2,0
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\NIOFactory.java,com.topjohnwu.superuser.internal.NIOFactory$Anonymous1,anonymous,7,7,0,7,11,1,0,10,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,38,7,0,0,0,0,3,2,3,1,3,4,0,0,0,24,-1,0
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\NIOFactory.java,com.topjohnwu.superuser.internal.NIOFactory$Anonymous2,anonymous,5,5,0,5,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServerMain.java,com.topjohnwu.superuser.internal.RootServerMain,class,9,11,2,9,21,3,0,31,4,0.6857143,0.06666667,0.06666667,5,3,3,0,0,2,6,0,0,0,7,5,0,4,0,3,7,0,11,137,3,0,2,6,0,18,12,31,1,26,3,0,1,0,82,0,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\Utils.java,com.topjohnwu.superuser.internal.Utils,class,11,34,23,11,38,1,0,31,133,0.8611111,0.06535948,0.06535948,18,18,16,0,0,2,18,0,0,2,4,4,0,3,0,1,1,0,15,129,22,3,3,2,2,15,17,20,1,14,3,0,0,0,73,17,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\CallbackList.java,com.topjohnwu.superuser.CallbackList,class,4,7,3,4,15,3,0,7,15,0.6,0.33333334,0.33333334,10,0,6,0,4,0,10,1,0,0,2,0,0,0,2,0,0,0,0,34,4,0,5,0,0,0,1,2,0,2,1,0,0,1,88,1025,0
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\io\SuFile.java,com.topjohnwu.superuser.io.SuFile,class,12,21,9,12,93,3,0,47,1788,0.91803277,0.005844156,0.005844156,61,4,55,5,0,1,56,0,0,0,2,0,0,2,0,0,1,0,22,256,65,5,10,3,5,44,17,37,11,28,2,0,0,0,288,1,0
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\Shell.java,com.topjohnwu.superuser.Shell$Result,innerclass,2,2,0,2,5,1,0,1,6,0.75,0.0,0.0,4,0,4,0,0,0,4,3,0,0,1,1,1,0,0,0,1,0,0,9,1,0,1,0,0,0,2,1,0,1,0,0,0,0,57,1033,0
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellBlockIO.java,com.topjohnwu.superuser.internal.ShellBlockIO,class,5,6,1,5,11,3,0,5,1,0.2857143,0.47619048,0.47619048,7,0,4,0,2,1,7,0,0,0,1,0,0,1,0,0,1,0,2,38,4,0,0,1,0,5,1,5,3,2,1,0,0,0,43,0,0
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\nio\ExtendedFile.java,com.topjohnwu.superuser.nio.ExtendedFile,class,3,11,8,3,21,2,2,1,210,0.0,0.0,0.0,21,0,17,0,4,0,21,16,1,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1025,0
