file,class,method,variable,usage
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getUser/2[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse]",token,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",request,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",handler,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",accessLimit,4
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",seconds,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",hm,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",response,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",needLogin,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",count,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",ak,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",user,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",maxCount,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",key,4
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getCookieValue/2[com.geekq.miaosha.interceptor.HttpServletRequest,java.lang.String]",request,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getCookieValue/2[com.geekq.miaosha.interceptor.HttpServletRequest,java.lang.String]",cookie,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getCookieValue/2[com.geekq.miaosha.interceptor.HttpServletRequest,java.lang.String]",cookiName,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getCookieValue/2[com.geekq.miaosha.interceptor.HttpServletRequest,java.lang.String]",cookies,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"render/2[com.geekq.miaosha.interceptor.HttpServletResponse,com.geekq.miasha.enums.enums.ResultStatus]",str,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"render/2[com.geekq.miaosha.interceptor.HttpServletResponse,com.geekq.miasha.enums.enums.ResultStatus]",response,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"render/2[com.geekq.miaosha.interceptor.HttpServletResponse,com.geekq.miasha.enums.enums.ResultStatus]",cm,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"render/2[com.geekq.miaosha.interceptor.HttpServletResponse,com.geekq.miasha.enums.enums.ResultStatus]",out,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"afterCompletion/4[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object,java.lang.Exception]",request,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"afterCompletion/4[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object,java.lang.Exception]",handler,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"afterCompletion/4[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object,java.lang.Exception]",ex,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"afterCompletion/4[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object,java.lang.Exception]",response,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setMaxOpenPreparedStatements/1[int],maxOpenPreparedStatements,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setType/1[java.lang.String],type,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setPoolPreparedStatements/1[boolean],poolPreparedStatements,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,druidSverlet/0,reg,7
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setFilters/1[java.lang.String],filters,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setPassword/1[java.lang.String],password,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setMinEvictableIdleTimeMillis/1[long],minEvictableIdleTimeMillis,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setDriverClassName/1[java.lang.String],driverClassName,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setUrl/1[java.lang.String],url,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setMinIdle/1[int],minIdle,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setTestOnBorrow/1[boolean],testOnBorrow,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setTestWhileIdle/1[boolean],testWhileIdle,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setValidationQuery/1[java.lang.String],validationQuery,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setMaxWait/1[long],maxWait,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setMaxActive/1[int],maxActive,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setInitialSize/1[int],initialSize,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setTimeBetweenEvictionRunsMillis/1[long],timeBetweenEvictionRunsMillis,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setUsername/1[java.lang.String],username,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,setTestOnReturn/1[boolean],testOnReturn,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,druidDataSource/0,e,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\config\DruidConfig.java,com.geekq.miaosha.config.DruidConfig,druidDataSource/0,datasource,18
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-service\src\main\java\com\geekq\miaosha\rabbitmq\MQConfig.java,com.geekq.miaosha.rabbitmq.MQConfig,headerBinding/0,map,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\ResultGeekQ.java,com.geekq.miasha.enums.resultbean.ResultGeekQ,setCount/1[java.lang.Integer],count,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\ResultGeekQ.java,com.geekq.miasha.enums.resultbean.ResultGeekQ,"ResultGeekQ/2[com.geekq.miasha.enums.enums.ResultStatus,java.lang.String]",message,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\ResultGeekQ.java,com.geekq.miasha.enums.resultbean.ResultGeekQ,"ResultGeekQ/2[com.geekq.miasha.enums.enums.ResultStatus,java.lang.String]",status,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\ResultGeekQ.java,com.geekq.miasha.enums.resultbean.ResultGeekQ,ResultGeekQ/1[com.geekq.miasha.enums.enums.ResultStatus],status,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\ResultGeekQ.java,com.geekq.miasha.enums.resultbean.ResultGeekQ,error/1[com.geekq.miasha.enums.enums.ResultStatus],status,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\ResultGeekQ.java,com.geekq.miasha.enums.resultbean.ResultGeekQ,setData/1[T],data,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\ResultGeekQ.java,com.geekq.miasha.enums.resultbean.ResultGeekQ,build/1[java.lang.String],message,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\ResultGeekQ.java,com.geekq.miasha.enums.resultbean.ResultGeekQ,success/1[T],value,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-service\src\main\java\com\geekq\miaosha\redis\OrderKey.java,com.geekq.miaosha.redis.OrderKey,OrderKey/1[java.lang.String],prefix,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\AbstractResult.java,com.geekq.miasha.enums.resultbean.AbstractResult,"withError/2[int,java.lang.String]",code,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\AbstractResult.java,com.geekq.miasha.enums.resultbean.AbstractResult,"withError/2[int,java.lang.String]",message,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\AbstractResult.java,com.geekq.miasha.enums.resultbean.AbstractResult,AbstractResult/1[com.geekq.miasha.enums.enums.ResultStatus],status,4
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\AbstractResult.java,com.geekq.miasha.enums.resultbean.AbstractResult,isSuccess/1[com.geekq.miasha.enums.resultbean.AbstractResult],result,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\AbstractResult.java,com.geekq.miasha.enums.resultbean.AbstractResult,withError/1[java.lang.String],message,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\AbstractResult.java,com.geekq.miasha.enums.resultbean.AbstractResult,setCode/1[int],code,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\AbstractResult.java,com.geekq.miasha.enums.resultbean.AbstractResult,"AbstractResult/2[com.geekq.miasha.enums.enums.ResultStatus,java.lang.String]",message,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\AbstractResult.java,com.geekq.miasha.enums.resultbean.AbstractResult,"AbstractResult/2[com.geekq.miasha.enums.enums.ResultStatus,java.lang.String]",status,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\resultbean\AbstractResult.java,com.geekq.miasha.enums.resultbean.AbstractResult,withError/1[com.geekq.miasha.enums.enums.ResultStatus],status,2
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-common\src\main\java\com\geekq\common\enums\MessageStatus.java,com.geekq.common.enums.MessageStatus$ContentEnum,"ContentEnum/2[int,java.lang.String]",code,2
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-common\src\main\java\com\geekq\common\enums\MessageStatus.java,com.geekq.common.enums.MessageStatus$ContentEnum,"ContentEnum/2[int,java.lang.String]",message,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-service\src\main\java\com\geekq\miaosha\mapper\GoodsMapper.java,com.geekq.miaosha.mapper.GoodsMapper,getGoodsVoByGoodsId/1[long],goodsId,0
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-service\src\main\java\com\geekq\miaosha\mapper\GoodsMapper.java,com.geekq.miaosha.mapper.GoodsMapper,reduceStock/1[com.geekq.miaosha.mapper.MiaoshaGoods],g,0
E:\OOD\projectsnew\miaosha-master\miaosha-rpc\dubbo-provider\src\main\java\com\geekq\dubbo\springboot\privoder\transaction\TransactionServiceImpl.java,com.geekq.dubbo.springboot.privoder.transaction.TransactionServiceImpl,cancelSendMessage/1[java.lang.String],message,2
E:\OOD\projectsnew\miaosha-master\miaosha-rpc\dubbo-provider\src\main\java\com\geekq\dubbo\springboot\privoder\transaction\TransactionServiceImpl.java,com.geekq.dubbo.springboot.privoder.transaction.TransactionServiceImpl,"cancelSaveOrder/3[java.lang.String,java.lang.String,java.lang.String]",seatsNum,0
E:\OOD\projectsnew\miaosha-master\miaosha-rpc\dubbo-provider\src\main\java\com\geekq\dubbo\springboot\privoder\transaction\TransactionServiceImpl.java,com.geekq.dubbo.springboot.privoder.transaction.TransactionServiceImpl,"cancelSaveOrder/3[java.lang.String,java.lang.String,java.lang.String]",seats,0
E:\OOD\projectsnew\miaosha-master\miaosha-rpc\dubbo-provider\src\main\java\com\geekq\dubbo\springboot\privoder\transaction\TransactionServiceImpl.java,com.geekq.dubbo.springboot.privoder.transaction.TransactionServiceImpl,"cancelSaveOrder/3[java.lang.String,java.lang.String,java.lang.String]",fieldId,0
E:\OOD\projectsnew\miaosha-master\miaosha-rpc\dubbo-provider\src\main\java\com\geekq\dubbo\springboot\privoder\transaction\TransactionServiceImpl.java,com.geekq.dubbo.springboot.privoder.transaction.TransactionServiceImpl,"confirmSaveOrder/3[java.lang.String,java.lang.String,java.lang.String]",seatsNum,0
E:\OOD\projectsnew\miaosha-master\miaosha-rpc\dubbo-provider\src\main\java\com\geekq\dubbo\springboot\privoder\transaction\TransactionServiceImpl.java,com.geekq.dubbo.springboot.privoder.transaction.TransactionServiceImpl,"confirmSaveOrder/3[java.lang.String,java.lang.String,java.lang.String]",seats,0
E:\OOD\projectsnew\miaosha-master\miaosha-rpc\dubbo-provider\src\main\java\com\geekq\dubbo\springboot\privoder\transaction\TransactionServiceImpl.java,com.geekq.dubbo.springboot.privoder.transaction.TransactionServiceImpl,"confirmSaveOrder/3[java.lang.String,java.lang.String,java.lang.String]",fieldId,0
E:\OOD\projectsnew\miaosha-master\miaosha-rpc\dubbo-provider\src\main\java\com\geekq\dubbo\springboot\privoder\transaction\TransactionServiceImpl.java,com.geekq.dubbo.springboot.privoder.transaction.TransactionServiceImpl,confirmSendMessage/1[java.lang.String],message,2
