file,class,type,wmc,lcom,loc,,,,,,
E:\OOD\projectsnew\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\push\v2\NamingSubscriberServiceV2Impl.java,com.alibaba.nacos.naming.push.v2.NamingSubscriberServiceV2Impl,class,13,24,62,,,,,,
E:\OOD\projectsnew\nacos-develop\common\src\test\java\com\alibaba\nacos\common\utils\InternetAddressUtilTest.java,com.alibaba.nacos.common.utils.InternetAddressUtilTest,class,15,66,113,,,,,,
E:\OOD\projectsnew\nacos-develop\config\src\main\java\com\alibaba\nacos\config\server\service\repository\RowMapperManager.java,com.alibaba.nacos.config.server.service.repository.RowMapperManager$ConfigInfoRowMapper,innerclass,6,0,35,,,,,,
E:\OOD\projectsnew\nacos-develop\istio\src\main\java\com\alibaba\nacos\istio\xds\NacosXdsService.java,com.alibaba.nacos.istio.xds.NacosXdsService,class,18,5,107,,,,,,
E:\OOD\projectsnew\nacos-develop\naming\src\test\java\com\alibaba\nacos\naming\core\v2\event\publisher\TestEvent.java,com.alibaba.nacos.naming.core.v2.event.publisher.TestEvent$TestEvent2,innerclass,0,0,3,,,,,,
E:\OOD\projectsnew\nacos-develop\core\src\main\java\com\alibaba\nacos\core\distributed\raft\exception\JRaftException.java,com.alibaba.nacos.core.distributed.raft.exception.JRaftException,class,5,10,17,,,,,,
E:\OOD\projectsnew\nacos-develop\test\core-test\src\test\java\com\alibaba\nacos\test\core\auth\Role_ITCase.java,com.alibaba.nacos.test.core.auth.Role_ITCase,class,17,0,112,,,,,,
E:\OOD\projectsnew\nacos-develop\common\src\main\java\com\alibaba\nacos\common\packagescan\resource\ClassPathResource.java,com.alibaba.nacos.common.packagescan.resource.ClassPathResource,class,34,0,113,,,,,,
E:\OOD\projectsnew\nacos-develop\common\src\main\java\com\alibaba\nacos\common\utils\StringUtils.java,com.alibaba.nacos.common.utils.StringUtils,class,155,835,483,,,,,,
E:\OOD\projectsnew\nacos-develop\naming\src\test\java\com\alibaba\nacos\naming\core\v2\event\publisher\TestEvent.java,com.alibaba.nacos.naming.core.v2.event.publisher.TestEvent$TestEvent1,innerclass,0,0,3,,,,,,
E:\OOD\projectsnew\nacos-develop\common\src\test\java\com\alibaba\nacos\common\remote\client\grpc\GrpcClientTlsTest.java,com.alibaba.nacos.common.remote.client.grpc.GrpcClientTlsTest$Anonymous1,anonymous,1,0,5,,,,,,
E:\OOD\projectsnew\nacos-develop\common\src\test\java\com\alibaba\nacos\common\utils\TypeUtilsTest.java,com.alibaba.nacos.common.utils.TypeUtilsTest,class,1,0,8,,,,,,
E:\OOD\projectsnew\nacos-develop\config\src\main\java\com\alibaba\nacos\config\server\remote\ConfigClusterRpcClientProxy.java,com.alibaba.nacos.config.server.remote.ConfigClusterRpcClientProxy,class,2,0,9,,,,,,
E:\OOD\projectsnew\nacos-develop\config\src\main\java\com\alibaba\nacos\config\server\model\ConfigInfo4Tag.java,com.alibaba.nacos.config.server.model.ConfigInfo4Tag,class,6,9,22,,,,,,
E:\OOD\projectsnew\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\v2\service\ClientOperationService.java,com.alibaba.nacos.naming.core.v2.service.ClientOperationService,interface,12,15,29,,,,,,
E:\OOD\projectsnew\nacos-develop\core\src\main\java\com\alibaba\nacos\core\utils\ReuseHttpServletRequest.java,com.alibaba.nacos.core.utils.ReuseHttpServletRequest,class,13,4,65,,,,,,
E:\OOD\projectsnew\nacos-develop\plugin\datasource\src\main\java\com\alibaba\nacos\plugin\datasource\impl\derby\TenantInfoMapperByDerby.java,com.alibaba.nacos.plugin.datasource.impl.derby.TenantInfoMapperByDerby,class,1,0,5,,,,,,
E:\OOD\projectsnew\nacos-develop\common\src\main\java\com\alibaba\nacos\common\utils\DateFormatUtils.java,com.alibaba.nacos.common.utils.DateFormatUtils,class,4,1,24,,,,,,
