file,class,type,wmc,lcom,loc,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\command\internal\PlainTextHandler.java,com.taobao.arthas.core.shell.command.internal.PlainTextHandler,class,2,1,9,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\term\impl\http\session\HttpSessionManager.java,com.taobao.arthas.core.shell.term.impl.http.session.HttpSessionManager,class,13,20,54,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\convert\ConfigurableConversionService.java,com.taobao.arthas.core.env.convert.ConfigurableConversionService,interface,0,0,2,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\Base64Model.java,com.taobao.arthas.core.command.model.Base64Model,class,5,4,17,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\HistoryModel.java,com.taobao.arthas.core.command.model.HistoryModel,class,4,4,14,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\ArthasEnvironment.java,com.taobao.arthas.core.env.ArthasEnvironment,class,16,13,79,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\command\CommandRegistry.java,com.taobao.arthas.core.shell.command.CommandRegistry,class,7,9,25,,,,,,
E:\OOD\projectsnew\arthas-master\memorycompiler\src\test\java\com\taobao\arthas\compiler\PackageInternalsFinderTest.java,com.taobao.arthas.compiler.PackageInternalsFinderTest,class,2,1,12,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\basic1000\Base64Command.java,com.taobao.arthas.core.command.basic1000.Base64Command,class,23,10,103,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-server\src\test\java\com\alibaba\arthas\tunnel\server\app\ArthasTunnelApplicationTest.java,com.alibaba.arthas.tunnel.server.app.ArthasTunnelApplicationTest,class,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\common\src\main\java\com\taobao\arthas\common\FileUtils.java,com.taobao.arthas.common.FileUtils,class,13,21,53,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\UserStatUtil.java,com.taobao.arthas.core.util.UserStatUtil$RemoteJob,innerclass,11,0,44,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\util\LongStackTest.java,com.taobao.arthas.core.util.LongStackTest,class,5,10,56,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\JvmItemVO.java,com.taobao.arthas.core.command.model.JvmItemVO,class,8,0,32,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\ThreadLocalRandom.java,com.taobao.arthas.core.util.ThreadLocalRandom$Anonymous1,anonymous,1,0,6,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\ThreadLocalRandom.java,com.taobao.arthas.core.util.ThreadLocalRandom$Anonymous2,anonymous,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\convert\StringToInetAddressConverter.java,com.taobao.arthas.core.env.convert.StringToInetAddressConverter,class,2,0,10,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\app\configuration\ArthasProperties.java,com.alibaba.arthas.tunnel.server.app.configuration.ArthasProperties$Server,innerclass,10,35,37,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\server\ArthasBootstrap.java,com.taobao.arthas.core.server.ArthasBootstrap$Anonymous1,anonymous,1,0,7,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\handlers\term\CloseHandlerWrapper.java,com.taobao.arthas.core.shell.handlers.term.CloseHandlerWrapper,class,2,0,9,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\server\ArthasBootstrap.java,com.taobao.arthas.core.server.ArthasBootstrap$Anonymous2,anonymous,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\memorycompiler\src\main\java\com\taobao\arthas\compiler\PackageInternalsFinder.java,com.taobao.arthas.compiler.PackageInternalsFinder,class,18,11,74,,,,,,
E:\OOD\projectsnew\arthas-master\common\src\main\java\com\taobao\arthas\common\ReflectException.java,com.taobao.arthas.common.ReflectException,class,2,0,11,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\express\Express.java,com.taobao.arthas.core.command.express.Express,interface,5,10,7,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\advisor\ArthasMethod.java,com.taobao.arthas.core.advisor.ArthasMethod,class,35,10,143,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\PathTraceAdviceListener.java,com.taobao.arthas.core.command.monitor200.PathTraceAdviceListener,class,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\PropertyPlaceholderHelper.java,com.taobao.arthas.core.env.PropertyPlaceholderHelper$PlaceholderResolver,interface,1,0,3,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\ViewRenderUtil.java,com.taobao.arthas.core.command.view.ViewRenderUtil,class,23,15,108,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\handlers\shell\CloseHandler.java,com.taobao.arthas.core.shell.handlers.shell.CloseHandler,class,2,0,9,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\reflect\ArthasReflectUtils.java,com.taobao.arthas.core.util.reflect.ArthasReflectUtils,class,38,28,161,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\GroovyAdviceListener.java,com.taobao.arthas.core.command.monitor200.GroovyAdviceListener,class,6,0,41,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\ForwardClientSocketClientHandler.java,com.alibaba.arthas.tunnel.client.ForwardClientSocketClientHandler$Anonymous1,anonymous,1,0,6,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\DashboardCommand.java,com.taobao.arthas.core.command.monitor200.DashboardCommand,class,18,35,170,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\view\ObjectViewTest.java,com.taobao.arthas.core.view.ObjectViewTest$NestedClass,innerclass,2,0,11,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\ForwardClientSocketClientHandler.java,com.alibaba.arthas.tunnel.client.ForwardClientSocketClientHandler$Anonymous3,anonymous,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\ForwardClientSocketClientHandler.java,com.alibaba.arthas.tunnel.client.ForwardClientSocketClientHandler$Anonymous2,anonymous,1,0,7,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\advisor\AdviceWeaver.java,com.taobao.arthas.core.advisor.AdviceWeaver,class,6,0,23,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\affect\Affect.java,com.taobao.arthas.core.util.affect.Affect,class,2,1,9,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\security\BasicPrincipal.java,com.taobao.arthas.core.security.BasicPrincipal,class,18,0,42,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\security\SecurityAuthenticatorImplTest.java,com.taobao.arthas.core.security.SecurityAuthenticatorImplTest,class,2,1,17,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\ShellServerOptions.java,com.taobao.arthas.core.shell.ShellServerOptions,class,13,50,60,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\TunnelSocketFrameHandler.java,com.alibaba.arthas.tunnel.server.TunnelSocketFrameHandler$Anonymous2,anonymous,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\TunnelSocketFrameHandler.java,com.alibaba.arthas.tunnel.server.TunnelSocketFrameHandler$Anonymous3,anonymous,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\TunnelSocketFrameHandler.java,com.alibaba.arthas.tunnel.server.TunnelSocketFrameHandler$Anonymous1,anonymous,2,0,15,,,,,,
E:\OOD\projectsnew\arthas-master\agent\src\main\java\com\taobao\arthas\agent334\AgentBootstrap.java,com.taobao.arthas.agent334.AgentBootstrap$Anonymous1,anonymous,2,0,10,,,,,,
E:\OOD\projectsnew\arthas-master\common\src\main\java\com\taobao\arthas\common\concurrent\ReusableIterator.java,com.taobao.arthas.common.concurrent.ReusableIterator,interface,1,0,3,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\klass100\ClassDumpTransformer.java,com.taobao.arthas.core.command.klass100.ClassDumpTransformer,class,11,0,56,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\TraceView.java,com.taobao.arthas.core.command.view.TraceView$Callback,interface,1,0,3,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\VmToolCommand.java,com.taobao.arthas.core.command.monitor200.VmToolCommand$InstancesWrapper,innerclass,3,0,12,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\term\TermServer.java,com.taobao.arthas.core.shell.term.TermServer,class,9,28,17,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\BuiltinCommandPack.java,com.taobao.arthas.core.command.BuiltinCommandPack,class,9,1,76,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\app\configuration\ArthasProperties.java,com.alibaba.arthas.tunnel.server.app.configuration.ArthasProperties,class,8,20,97,,,,,,
E:\OOD\projectsnew\arthas-master\client\src\main\java\org\apache\commons\net\telnet\TelnetOption.java,org.apache.commons.net.telnet.TelnetOption,class,5,3,60,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\TunnelClient.java,com.alibaba.arthas.tunnel.client.TunnelClient$Anonymous2,anonymous,2,0,7,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\TunnelClient.java,com.alibaba.arthas.tunnel.client.TunnelClient$Anonymous1,anonymous,2,0,9,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\EnhancerAffectVO.java,com.taobao.arthas.core.command.model.EnhancerAffectVO,class,17,49,70,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\SearchClassModel.java,com.taobao.arthas.core.command.model.SearchClassModel,class,16,94,61,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\MonitorCommand.java,com.taobao.arthas.core.command.monitor200.MonitorCommand$Anonymous1,anonymous,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\klass100\RetransformCommand.java,com.taobao.arthas.core.command.klass100.RetransformCommand,class,53,92,344,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\ProfilerCommand.java,com.taobao.arthas.core.command.monitor200.ProfilerCommand$Anonymous1,anonymous,2,0,13,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\MonitorCommand.java,com.taobao.arthas.core.command.monitor200.MonitorCommand$Anonymous2,anonymous,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\system\impl\ProcessImpl.java,com.taobao.arthas.core.shell.system.impl.ProcessImpl,class,69,317,498,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\metrics\RateCounter.java,com.taobao.arthas.core.util.metrics.RateCounter,class,13,3,59,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\term\impl\http\api\HttpApiHandler.java,com.taobao.arthas.core.shell.term.impl.http.api.HttpApiHandler$ApiJobHandler,innerclass,8,0,27,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\klass100\GetStaticCommand.java,com.taobao.arthas.core.command.klass100.GetStaticCommand,class,28,27,121,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\config\Ssl.java,com.taobao.arthas.core.config.Ssl,class,13,42,47,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\MBeanCommand.java,com.taobao.arthas.core.command.monitor200.MBeanCommand$MBeanInterruptHandler,innerclass,2,0,11,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\matcher\GroupMatcher.java,com.taobao.arthas.core.util.matcher.GroupMatcher$And,innerclass,5,0,17,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\MonitorModel.java,com.taobao.arthas.core.command.model.MonitorModel,class,5,4,17,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\PwdView.java,com.taobao.arthas.core.command.view.PwdView,class,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\util\matcher\EqualsMatcherTest.java,com.taobao.arthas.core.util.matcher.EqualsMatcherTest,class,1,0,9,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\app\ArthasTunnelApplication.java,com.alibaba.arthas.tunnel.server.app.ArthasTunnelApplication,class,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\RelayHandler.java,com.alibaba.arthas.tunnel.client.RelayHandler,class,8,0,34,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\view\TreeView.java,com.taobao.arthas.core.view.TreeView,class,19,7,168,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\RedefineView.java,com.taobao.arthas.core.command.view.RedefineView,class,3,0,15,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\MBeanCommand.java,com.taobao.arthas.core.command.monitor200.MBeanCommand,class,69,252,365,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\GlobalOptions.java,com.taobao.arthas.core.GlobalOptions,class,0,0,14,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\basic1000\StopCommand.java,com.taobao.arthas.core.command.basic1000.StopCommand,class,3,1,23,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\TimeTunnelTable.java,com.taobao.arthas.core.command.monitor200.TimeTunnelTable,class,29,91,127,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\klass100\RetransformCommand.java,com.taobao.arthas.core.command.klass100.RetransformCommand$RetransformClassFileTransformer,innerclass,13,1,46,,,,,,
E:\OOD\projectsnew\arthas-master\client\src\main\java\org\apache\commons\net\telnet\InvalidTelnetOptionException.java,org.apache.commons.net.telnet.InvalidTelnetOptionException,class,2,0,12,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\MonitorAdviceListener.java,com.taobao.arthas.core.command.monitor200.MonitorAdviceListener,class,20,7,153,,,,,,
